ID|Genre|Kategorie|Autor|Titel|Type_token_ratio|Dispersion|Disparity|Evenness|Density|Rarity|Average_token_length_syllables|MTLD|Honore_H
k00300000745|Horror|Schemaliteratur|Rellergerd, Helmut|Der Satanist|0.26986666666666664|0.8003238456312386|0.5799271464347839|0.9274292170751346|0.37082299026160015|0.4319113573407202|1.5754057666603016|178.16315435351447|2397.3126512602757
k00300000746|Horror|Schemaliteratur|Rellergerd, Helmut|Maringo, der Höllenreiter|0.30617777777777777|0.816945799271636|0.5927575826644897|0.9326981591099349|0.4303159309881246|0.3520379146919431|1.6430278586899694|220.99380253969238|2641.8552981552225
k00300000747|Horror|Schemaliteratur|Rellergerd, Helmut|Das Gas-Gespenst|0.2750222222222222|0.7990743204901019|0.6018403172492981|0.9323765832468175|0.3816226710973379|0.4146289827458453|1.581152223425307|198.55021716152666|2365.793194262338
k00300000748|Horror|Schemaliteratur|Rellergerd, Helmut|Die Rückkehr des Rächers|0.3149777777777778|0.8191878399435509|0.6176541447639465|0.9332072549189875|0.43557549661685424|0.3327648114901257|1.6663530773962443|226.44029513599884|2673.814744282758
k00300000749|Horror|Schemaliteratur|Tenkrat, Fritz|Hexentanz|0.3005333333333333|0.8115970979026412|0.6067111492156982|0.9340141881021002|0.4221994360420405|0.3674871207784774|1.6458173118003931|196.42541412387146|2587.649934879432
k00300000750|Horror|Schemaliteratur|Rellergerd, Helmut|Teufelstrank um Mitternacht|0.29702222222222224|0.8131686700024847|0.5890544652938843|0.9328116958228952|0.4330864197530864|0.3416998912649511|1.6176014109347443|213.8385824728263|2557.907138432666
k00300000751|Horror|Schemaliteratur|Tenkrat, Fritz|Der Turm der 1000 Schrecken|0.3064888888888889|0.8116397500650827|0.5962643623352051|0.9357409066546135|0.427774611188014|0.370291095890411|1.6704258610862308|212.9619070358908|2641.568595158286
k00300000752|Horror|Schemaliteratur|Rellergerd, Helmut|Der Pfähler|0.30902222222222225|0.8157085158342956|0.6405487060546875|0.9307921480419433|0.4233900555574968|0.3579916018940409|1.62965163003599|206.3861585025813|2651.9499611031483
k00300000753|Horror|Schemaliteratur|Rellergerd, Helmut|Dracula gibt sich die Ehre|0.3056|0.8188090073926826|0.6321407556533813|0.9311926083536373|0.4345210047482692|0.36627906976744173|1.6365218021675305|200.03125168656442|2703.8683888903133
k00300000754|Horror|Schemaliteratur|Rellergerd, Helmut|Die Vampirfalle|0.3042222222222222|0.8098456777183013|0.6151105165481567|0.933712422090564|0.4294434211001553|0.3734747512671297|1.644165131650233|225.89673457347607|2563.1483931623293
k00300000755|Horror|Schemaliteratur|Appel, Walter|Panik in Tokio|0.34036666666666665|0.8268751055587431|0.5999963879585266|0.9374562095461998|0.4509304019601351|0.2854793619470482|1.79445069862923|238.76189410224444|2928.685300093017
k00300000756|Horror|Schemaliteratur|Rellergerd, Helmut|Die Horror-Reiter|0.2982222222222222|0.8120976682880735|0.6824133396148682|0.9335859220618684|0.4187658727434965|0.3564088696592753|1.6313748369826344|209.85962297797698|2545.898443542511
k00300000757|Horror|Schemaliteratur|Tenkrat, Fritz|Das Todesmoor|0.2997333333333333|0.8144792240788675|0.5778981447219849|0.936357224675727|0.4291671405284507|0.3720340701683229|1.6622692293111945|208.14928707665524|2548.558274410938
k00300000758|Horror|Schemaliteratur|Rellergerd, Helmut|Die Ameisen greifen an|0.29502222222222224|0.8102487707645243|0.666319727897644|0.9319576110718119|0.4283513097072419|0.3758522727272727|1.6316677672609876|216.67044006444698|2483.736221306626
k00300000759|Horror|Schemaliteratur|Wunderer, Richard|Das Amulett des Sonnengottes|0.2865333333333333|0.8066193436046062|0.5881974697113037|0.9321019461917984|0.4117707689136261|0.3665248483751245|1.6804782519068233|198.50110639482915|2443.4017015187696
k00300000760|Horror|Schemaliteratur|Rellergerd, Helmut|Der Totenbeschwörer|0.2859111111111111|0.804425826394009|0.6262413263320923|0.9343629402614427|0.4177370713727242|0.38557312252964426|1.5983841542872035|211.73590827468917|2441.177861733797
k00300000761|Horror|Schemaliteratur|Appel, Walter|Der Vampir von Manhattan|0.34600000000000003|0.8305717119073098|0.6329231858253479|0.9392187630054873|0.4519848515588016|0.3137891687878522|1.748934875228241|241.52942540766637|3009.305578942334
k00300000762|Horror|Schemaliteratur|Rellergerd, Helmut|Das Trio des Teufels|0.29035555555555553|0.8107313294238624|0.6014716625213623|0.9313843104694384|0.4208194905869325|0.3841257594753593|1.60406053894426|204.375333351688|2507.1605691954564
k00300000763|Horror|Schemaliteratur|Tenkrat, Fritz|Die Werwölfe von Wien|0.3109777777777777|0.8153701152718391|0.5647510290145874|0.9351559216295746|0.4247688669103419|0.3528258362168397|1.6768006880240809|209.4316823930233|2662.0990650259523
k00300000764|Horror|Schemaliteratur|Wunderer, Richard|Die Dämonenschmiede|0.2895111111111111|0.8071285539883022|0.6177575588226318|0.9319364894783388|0.4130304631097024|0.3457245641545983|1.6477548864236662|204.69635761816562|2441.320462103855
k00300000765|Horror|Schemaliteratur|Wunderer, Richard|Das Grauen an der Themse|0.2947111111111111|0.8090704281712685|0.6088119745254517|0.9309655405030645|0.4230624336449879|0.3736447774349934|1.652316860166444|199.68615797939208|2509.311997282707
k00300000766|Horror|Schemaliteratur|Rellergerd, Helmut|Der Gelbe Satan|0.2995555555555555|0.8113431172945779|0.6374055743217468|0.9321574467581756|0.4247521443689429|0.36980327551119296|1.6455385986409714|208.41613098659866|2611.7293857157883
k00300000767|Horror|Schemaliteratur|Rellergerd, Helmut|Assungas Zaubermantel (1. Teil)|0.28342222222222224|0.8101144088352916|0.6195132732391357|0.9290101245446885|0.3834236462159508|0.3937923364674957|1.6241771829654144|179.98034632779303|2493.9162152653626
k00300000768|Horror|Schemaliteratur|Rellergerd, Helmut|Draculas Blutgemach (2. Teil)|0.28004444444444443|0.8054619118722003|0.6241171956062317|0.93032842101399|0.3827567067530065|0.3752942380513765|1.6161332099907493|192.40394988779937|2415.7600866222383
k00300000769|Horror|Schemaliteratur|Rellergerd, Helmut|Die Nacht der bösen Frauen (3. Teil)|0.2650666666666667|0.7966188573431475|0.63193511962890625|0.927915624972592|0.38006160318533533|0.4102998834375331|1.5994666065659982|182.1526506951386|2379.4302640890555
k00300000770|Horror|Schemaliteratur|Rellergerd, Helmut|Die Insel des Kopfjägers|0.28644444444444445|0.8077682007151555|0.5837125182151794|0.928317448102469|0.3860757056490431|0.3872651356993737|1.5914359428549425|189.62927422254225|2519.561792658701
k00300000771|Horror|Schemaliteratur|Rellergerd, Helmut|Der Pestbringer (1. Teil)|0.2706666666666667|0.8029281985505945|0.5876181721687317|0.9304144189486105|0.3786623855219469|0.4154084798345398|1.588645236618382|187.64086791653443|2390.401217798749
k00300000772|Horror|Schemaliteratur|Rellergerd, Helmut|Schrei nach dem Satan (2. Teil)|0.2680888888888889|0.7973187409820488|0.6194608211517334|0.9306322277078202|0.37506407909190775|0.4105185497470489|1.5900036616623947|182.91667232684725|2408.5793808805493
k00300000773|Horror|Schemaliteratur|Rellergerd, Helmut|Geheimbund Dunkler Gral|0.2795111111111111|0.8082415554592213|0.5853190422058105|0.9309697251201611|0.3807035101375144|0.40468814539446507|1.6045072093109456|191.25479797546427|2414.463817670021
k00300000774|Horror|Schemaliteratur|Rellergerd, Helmut|Verliebt in eine Tote (1. Teil)|0.2712|0.8065011926351687|0.6021966934204102|0.9280255058691435|0.37495416208287496|0.4105725031341412|1.5831683168316832|176.89392570989313|2479.6849958974904
k00300000775|Horror|Schemaliteratur|Rellergerd, Helmut|Das Seelenschwert (2. Teil)|0.2673333333333333|0.7979248694428278|0.6062976121902466|0.9306802093702968|0.3718686280221381|0.4193960017014037|1.582325953976114|180.84592239496942|2419.8576391019337
